Atom_Index, Neighbour_Index, distance
0,1,0.86603
0,5,0.86603
0,13,0.86603
0,17,0.86603
0,37,0.86603
0,41,0.86603
0,49,0.86603
0,53,0.86603
1,0,0.86603
1,2,0.86603
1,6,0.86603
1,8,0.86603
1,18,0.86603
1,20,0.86603
1,24,0.86603
1,26,0.86603
2,1,0.86603
2,3,0.86603
2,13,0.86603
2,15,0.86603
2,37,0.86603
2,39,0.86603
2,49,0.86603
2,51,0.86603
3,2,0.86603
3,4,0.86603
3,8,0.86603
3,10,0.86603
3,20,0.86603
3,22,0.86603
3,26,0.86603
3,28,0.86603
4,3,0.86603
4,5,0.86603
4,15,0.86603
4,17,0.86603
4,39,0.86603
4,41,0.86603
4,51,0.86603
4,53,0.86603
5,0,0.86603
5,4,0.86603
5,6,0.86603
5,10,0.86603
5,18,0.86603
5,22,0.86603
5,24,0.86603
5,28,0.86603
6,1,0.86603
6,5,0.86603
6,7,0.86603
6,11,0.86603
6,37,0.86603
6,41,0.86603
6,43,0.86603
6,47,0.86603
7,6,0.86603
7,8,0.86603
7,12,0.86603
7,14,0.86603
7,24,0.86603
7,26,0.86603
7,30,0.86603
7,32,0.86603
8,1,0.86603
8,3,0.86603
8,7,0.86603
8,9,0.86603
8,37,0.86603
8,39,0.86603
8,43,0.86603
8,45,0.86603
9,8,0.86603
9,10,0.86603
9,14,0.86603
9,16,0.86603
9,26,0.86603
9,28,0.86603
9,32,0.86603
9,34,0.86603
10,3,0.86603
10,5,0.86603
10,9,0.86603
10,11,0.86603
10,39,0.86603
10,41,0.86603
10,45,0.86603
10,47,0.86603
11,6,0.86603
11,10,0.86603
11,12,0.86603
11,16,0.86603
11,24,0.86603
11,28,0.86603
11,30,0.86603
11,34,0.86603
12,7,0.86603
12,11,0.86603
12,13,0.86603
12,17,0.86603
12,43,0.86603
12,47,0.86603
12,49,0.86603
12,53,0.86603
13,0,0.86603
13,2,0.86603
13,12,0.86603
13,14,0.86603
13,18,0.86603
13,20,0.86603
13,30,0.86603
13,32,0.86603
14,7,0.86603
14,9,0.86603
14,13,0.86603
14,15,0.86603
14,43,0.86603
14,45,0.86603
14,49,0.86603
14,51,0.86603
15,2,0.86603
15,4,0.86603
15,14,0.86603
15,16,0.86603
15,20,0.86603
15,22,0.86603
15,32,0.86603
15,34,0.86603
16,9,0.86603
16,11,0.86603
16,15,0.86603
16,17,0.86603
16,45,0.86603
16,47,0.86603
16,51,0.86603
16,53,0.86603
17,0,0.86603
17,4,0.86603
17,12,0.86603
17,16,0.86603
17,18,0.86603
17,22,0.86603
17,30,0.86603
17,34,0.86603
18,1,0.86603
18,5,0.86603
18,13,0.86603
18,17,0.86603
18,19,0.86603
18,23,0.86603
18,31,0.86603
18,35,0.86603
19,18,0.86603
19,20,0.86603
19,24,0.86603
19,26,0.86603
19,36,0.86603
19,38,0.86603
19,42,0.86603
19,44,0.86603
20,1,0.86603
20,3,0.86603
20,13,0.86603
20,15,0.86603
20,19,0.86603
20,21,0.86603
20,31,0.86603
20,33,0.86603
21,20,0.86603
21,22,0.86603
21,26,0.86603
21,28,0.86603
21,38,0.86603
21,40,0.86603
21,44,0.86603
21,46,0.86603
22,3,0.86603
22,5,0.86603
22,15,0.86603
22,17,0.86603
22,21,0.86603
22,23,0.86603
22,33,0.86603
22,35,0.86603
23,18,0.86603
23,22,0.86603
23,24,0.86603
23,28,0.86603
23,36,0.86603
23,40,0.86603
23,42,0.86603
23,46,0.86603
24,1,0.86603
24,5,0.86603
24,7,0.86603
24,11,0.86603
24,19,0.86603
24,23,0.86603
24,25,0.86603
24,29,0.86603
25,24,0.86603
25,26,0.86603
25,30,0.86603
25,32,0.86603
25,42,0.86603
25,44,0.86603
25,48,0.86603
25,50,0.86603
26,1,0.86603
26,3,0.86603
26,7,0.86603
26,9,0.86603
26,19,0.86603
26,21,0.86603
26,25,0.86603
26,27,0.86603
27,26,0.86603
27,28,0.86603
27,32,0.86603
27,34,0.86603
27,44,0.86603
27,46,0.86603
27,50,0.86603
27,52,0.86603
28,3,0.86603
28,5,0.86603
28,9,0.86603
28,11,0.86603
28,21,0.86603
28,23,0.86603
28,27,0.86603
28,29,0.86603
29,24,0.86603
29,28,0.86603
29,30,0.86603
29,34,0.86603
29,42,0.86603
29,46,0.86603
29,48,0.86603
29,52,0.86603
30,7,0.86603
30,11,0.86603
30,13,0.86603
30,17,0.86603
30,25,0.86603
30,29,0.86603
30,31,0.86603
30,35,0.86603
31,18,0.86603
31,20,0.86603
31,30,0.86603
31,32,0.86603
31,36,0.86603
31,38,0.86603
31,48,0.86603
31,50,0.86603
32,7,0.86603
32,9,0.86603
32,13,0.86603
32,15,0.86603
32,25,0.86603
32,27,0.86603
32,31,0.86603
32,33,0.86603
33,20,0.86603
33,22,0.86603
33,32,0.86603
33,34,0.86603
33,38,0.86603
33,40,0.86603
33,50,0.86603
33,52,0.86603
34,9,0.86603
34,11,0.86603
34,15,0.86603
34,17,0.86603
34,27,0.86603
34,29,0.86603
34,33,0.86603
34,35,0.86603
35,18,0.86603
35,22,0.86603
35,30,0.86603
35,34,0.86603
35,36,0.86603
35,40,0.86603
35,48,0.86603
35,52,0.86603
36,19,0.86603
36,23,0.86603
36,31,0.86603
36,35,0.86603
36,37,0.86603
36,41,0.86603
36,49,0.86603
36,53,0.86603
37,0,0.86603
37,2,0.86603
37,6,0.86603
37,8,0.86603
37,36,0.86603
37,38,0.86603
37,42,0.86603
37,44,0.86603
38,19,0.86603
38,21,0.86603
38,31,0.86603
38,33,0.86603
38,37,0.86603
38,39,0.86603
38,49,0.86603
38,51,0.86603
39,2,0.86603
39,4,0.86603
39,8,0.86603
39,10,0.86603
39,38,0.86603
39,40,0.86603
39,44,0.86603
39,46,0.86603
40,21,0.86603
40,23,0.86603
40,33,0.86603
40,35,0.86603
40,39,0.86603
40,41,0.86603
40,51,0.86603
40,53,0.86603
41,0,0.86603
41,4,0.86603
41,6,0.86603
41,10,0.86603
41,36,0.86603
41,40,0.86603
41,42,0.86603
41,46,0.86603
42,19,0.86603
42,23,0.86603
42,25,0.86603
42,29,0.86603
42,37,0.86603
42,41,0.86603
42,43,0.86603
42,47,0.86603
43,6,0.86603
43,8,0.86603
43,12,0.86603
43,14,0.86603
43,42,0.86603
43,44,0.86603
43,48,0.86603
43,50,0.86603
44,19,0.86603
44,21,0.86603
44,25,0.86603
44,27,0.86603
44,37,0.86603
44,39,0.86603
44,43,0.86603
44,45,0.86603
45,8,0.86603
45,10,0.86603
45,14,0.86603
45,16,0.86603
45,44,0.86603
45,46,0.86603
45,50,0.86603
45,52,0.86603
46,21,0.86603
46,23,0.86603
46,27,0.86603
46,29,0.86603
46,39,0.86603
46,41,0.86603
46,45,0.86603
46,47,0.86603
47,6,0.86603
47,10,0.86603
47,12,0.86603
47,16,0.86603
47,42,0.86603
47,46,0.86603
47,48,0.86603
47,52,0.86603
48,25,0.86603
48,29,0.86603
48,31,0.86603
48,35,0.86603
48,43,0.86603
48,47,0.86603
48,49,0.86603
48,53,0.86603
49,0,0.86603
49,2,0.86603
49,12,0.86603
49,14,0.86603
49,36,0.86603
49,38,0.86603
49,48,0.86603
49,50,0.86603
50,25,0.86603
50,27,0.86603
50,31,0.86603
50,33,0.86603
50,43,0.86603
50,45,0.86603
50,49,0.86603
50,51,0.86603
51,2,0.86603
51,4,0.86603
51,14,0.86603
51,16,0.86603
51,38,0.86603
51,40,0.86603
51,50,0.86603
51,52,0.86603
52,27,0.86603
52,29,0.86603
52,33,0.86603
52,35,0.86603
52,45,0.86603
52,47,0.86603
52,51,0.86603
52,53,0.86603
53,0,0.86603
53,4,0.86603
53,12,0.86603
53,16,0.86603
53,36,0.86603
53,40,0.86603
53,48,0.86603
53,52,0.86603
