Atom_Index, Neighbour_Index, distance
0,1,0.70711
0,2,0.70711
0,3,0.70711
0,9,0.70711
0,10,0.70711
0,25,0.70711
0,27,0.70711
0,33,0.70711
0,74,0.70711
0,75,0.70711
0,82,0.70711
0,99,0.70711
1,0,0.70711
1,2,0.70711
1,3,0.70711
1,4,0.70711
1,7,0.70711
1,12,0.70711
1,14,0.70711
1,16,0.70711
1,74,0.70711
1,75,0.70711
1,79,0.70711
1,86,0.70711
2,0,0.70711
2,1,0.70711
2,3,0.70711
2,4,0.70711
2,7,0.70711
2,25,0.70711
2,27,0.70711
2,31,0.70711
2,36,0.70711
2,37,0.70711
2,40,0.70711
2,61,0.70711
3,0,0.70711
3,1,0.70711
3,2,0.70711
3,9,0.70711
3,10,0.70711
3,12,0.70711
3,14,0.70711
3,22,0.70711
3,36,0.70711
3,37,0.70711
3,45,0.70711
3,48,0.70711
4,1,0.70711
4,2,0.70711
4,5,0.70711
4,6,0.70711
4,7,0.70711
4,25,0.70711
4,29,0.70711
4,31,0.70711
4,74,0.70711
4,78,0.70711
4,79,0.70711
4,103,0.70711
5,4,0.70711
5,6,0.70711
5,7,0.70711
5,8,0.70711
5,11,0.70711
5,16,0.70711
5,18,0.70711
5,20,0.70711
5,78,0.70711
5,79,0.70711
5,83,0.70711
5,90,0.70711
6,4,0.70711
6,5,0.70711
6,7,0.70711
6,8,0.70711
6,11,0.70711
6,29,0.70711
6,31,0.70711
6,35,0.70711
6,40,0.70711
6,41,0.70711
6,44,0.70711
6,65,0.70711
7,1,0.70711
7,2,0.70711
7,4,0.70711
7,5,0.70711
7,6,0.70711
7,14,0.70711
7,16,0.70711
7,18,0.70711
7,37,0.70711
7,40,0.70711
7,41,0.70711
7,52,0.70711
8,5,0.70711
8,6,0.70711
8,9,0.70711
8,10,0.70711
8,11,0.70711
8,29,0.70711
8,33,0.70711
8,35,0.70711
8,78,0.70711
8,82,0.70711
8,83,0.70711
8,107,0.70711
9,0,0.70711
9,3,0.70711
9,8,0.70711
9,10,0.70711
9,11,0.70711
9,12,0.70711
9,20,0.70711
9,22,0.70711
9,75,0.70711
9,82,0.70711
9,83,0.70711
9,94,0.70711
10,0,0.70711
10,3,0.70711
10,8,0.70711
10,9,0.70711
10,11,0.70711
10,27,0.70711
10,33,0.70711
10,35,0.70711
10,36,0.70711
10,44,0.70711
10,45,0.70711
10,69,0.70711
11,5,0.70711
11,6,0.70711
11,8,0.70711
11,9,0.70711
