Atom_Index, Neighbour_Index, distance
0,1,3.70524
0,2,3.70524
0,3,3.70524
0,4,5.24
0,5,8.28517
0,6,8.28517
0,7,6.41766
0,8,5.24
0,9,3.70524
0,10,3.70524
0,11,6.41766
0,12,5.24
0,13,8.28517
0,14,6.41766
0,15,8.28517
0,16,7.41048
0,18,9.80314
0,19,9.80314
0,20,7.41048
0,21,8.28517
0,22,6.41766
0,23,9.80314
0,24,5.24
0,25,3.70524
0,26,6.41766
0,27,3.70524
0,28,7.41048
0,29,8.28517
0,30,9.80314
0,31,6.41766
0,32,7.41048
0,33,3.70524
0,34,6.41766
0,35,6.41766
0,36,5.24
0,37,6.41766
0,38,8.28517
0,39,8.28517
0,40,7.41048
0,41,9.80314
0,43,9.80314
0,44,7.41048
0,45,6.41766
0,46,8.28517
0,47,9.80314
0,48,7.41048
0,49,9.80314
0,50,9.80314
0,52,9.07595
0,56,9.07595
0,57,9.80314
0,58,9.80314
0,60,7.41048
0,61,6.41766
0,62,9.80314
0,63,8.28517
0,64,9.07595
0,65,9.80314
0,67,9.80314
0,68,9.07595
0,69,6.41766
0,70,9.80314
0,71,9.80314
0,72,5.24
0,73,6.41766
0,74,3.70524
0,75,3.70524
0,76,7.41048
0,77,9.80314
0,78,8.28517
0,79,6.41766
0,80,7.41048
0,81,6.41766
0,82,3.70524
0,83,6.41766
0,84,7.41048
0,85,9.80314
0,86,6.41766
0,87,8.28517
0,88,9.07595
0,90,9.80314
0,91,9.80314
0,92,9.07595
0,93,9.80314
0,94,6.41766
0,95,9.80314
0,96,7.41048
0,97,6.41766
0,98,6.41766
0,99,3.70524
0,100,9.07595
0,101,9.80314
0,102,9.80314
0,103,6.41766
0,104,9.07595
0,105,6.41766
0,106,6.41766
0,107,6.41766
1,0,3.70524
1,2,3.70524
1,3,3.70524
1,4,3.70524
1,5,5.24
1,6,6.41766
1,7,3.70524
1,8,8.28517
1,9,5.24
1,10,6.41766
1,11,8.28517
1,12,3.70524
1,13,5.24
1,14,3.70524
1,15,6.41766
1,16,3.70524
1,17,7.41048
1,18,6.41766
1,19,6.41766
1,20,8.28517
1,21,7.41048
1,22,6.41766
1,23,9.80314
1,24,8.28517
1,25,5.24
1,26,8.28517
1,27,6.41766
1,28,8.28517
1,29,7.41048
1,30,9.80314
1,31,6.41766
1,33,7.41048
1,34,9.80314
1,35,9.80314
1,36,6.41766
1,37,5.24
1,38,8.28517
1,39,8.28517
1,40,6.41766
1,41,7.41048
1,42,9.80314
1,43,8.28517
1,44,9.80314
1,45,7.41048
1,46,9.80314
1,48,6.41766
1,49,7.41048
1,50,8.28517
1,51,9.80314
1,52,6.41766
1,53,9.07595
1,54,9.80314
1,55,9.80314
1,56,9.80314
1,57,9.07595
1,58,9.80314
1,60,9.80314
1,61,7.41048
1,63,9.80314
1,64,9.80314
1,65,9.07595
1,67,9.80314
1,69,9.07595
1,72,6.41766
1,73,5.24
1,74,3.70524
1,75,3.70524
1,76,6.41766
1,77,7.41048
1,78,6.41766
1,79,3.70524
1,80,9.80314
1,81,7.41048
1,82,6.41766
1,83,8.28517
1,84,6.41766
1,85,7.41048
1,86,3.70524
1,87,6.41766
1,88,6.41766
1,89,9.07595
1,90,6.41766
1,91,6.41766
1,92,9.80314
1,93,9.07595
1,94,6.41766
1,95,9.80314
1,96,9.80314
1,97,7.41048
1,98,8.28517
1,99,6.41766
1,100,9.80314
1,101,9.07595
1,102,9.80314
1,103,6.41766
1,105,9.07595
1,106,9.80314
1,107,9.80314
2,0,3.70524
2,1,3.70524
2,3,3.70524
2,4,3.70524
2,5,6.41766
2,6,5.24
